Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
,,Windows,15.6, LED , No ,2.6,12.0,4.0,8.0,1.0,,HDD,1000.0,2.3,1.0,No,,,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,365.0,260.0,24.0,nan,,Yes,4.0,Yes,,,Lenovo
4.8,5.0,Windows,14.0, LED , No ,3.0,12.0,6.0,32.0,1.0,3200.0,nan,1000.0,1.7,1.0,No,180.0,4.0,Li-Ion,,No,2560,1440,nan,,NVIDIA,324.0,220.0,19.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
4.6,256.0,MAC,13.0, LED , No ,1.4,6.0,8.0,16.0,1.0,2133.0,nan,256.0,1.4,1.0,No,58.2,,Li-Po,,No,2560,1600,Intel,6.0,Intel Graphics,304.0,212.4,15.6,nan,,Yes,5.0,Yes,2.0,yes,Apple
4.0,234.0,Windows,15.6, LED , No ,2.1,4.0,8.0,12.0,1.0,2666.0,HDD,1000.0,1.7,1.0,No,45.0,2.0,Li-Ion,9.0,No,1920,1080,Intel,4.0,Intel Graphics,362.2,253.4,19.9,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
4.0,64.0,Windows,15.6, LED , No ,2.4,8.0,8.0,12.0,1.0,3200.0,nan,512.0,1.65,1.0,No,65.0,,Li-Ion,7.5,No,1920,1080,Intel,6.0,Intel Graphics,359.2,236.5,19.9,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
3.5,4.0,Windows,14.0, LED ,,2.3,3.0,4.0,,1.0,2133.0,HDD,500.0,1.79,1.0,Yes,41.0,4.0,Li-Ion,,No,1366,768,Intel,4.0,Intel Graphics,345.4,241.5,23.9,Yes,2.0,Yes,4.0,Yes,,,HP
4.2,26.0,Windows,15.6, LED , No ,2.5,8.0,8.0,32.0,2.0,2933.0,nan,1000.0,2.3,1.0,No,150.0,3.0,Li-Ion,,nan,1920,1080,Intel,6.0,NVIDIA,360.0,275.0,21.0,Yes,1.0,Yes,5.1,Yes,1.0,yes,Asus
,,Windows,17.3, LED , No ,,,8.0,16.0,1.0,,nan,1000.0,2.9,1.0,No,280.0,4.0,Li-Po,,No,1920,1080,Intel,,NVIDIA,397.0,284.0,25.9,nan,,Yes,5.2,nan,,yes,MSI
4.7,544.0,Windows,15.6, LED , No ,2.4,8.0,4.0,12.0,1.0,2666.0,nan,256.0,2.24,1.0,No,150.0,3.0,Li-Ion,,nan,1920,1080,Intel,6.0,NVIDIA,360.0,256.0,23.4,Yes,1.0,Yes,4.2,Yes,1.0,yes,HP
,,Windows,15.6, LED , No ,2.6,6.0,4.0,32.0,1.0,1600.0,HDD,1000.0,2.4,1.0,No,,3.0,Li-Ion,4.0,No,1920,1080,Intel,4.0,NVIDIA,389.0,257.0,23.0,nan,,Yes,4.0,No,,yes,Acer
