Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
,,Windows,14.0, LED , No ,2.0,12.0,8.0,,1.0,3200.0,nan,512.0,1.4,1.0,No,45.0,3.0,Li-Po,,Yes,1920,1080,AMD,8.0,AMD Graphics,324.0,213.0,15.9,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
4.2,101.0, Google Chrome ,14.0, LED , No ,1.1,2.0,4.0,,1.0,,nan,64.0,1.2,1.0,No,45.0,2.0,Li-Ion,,nan,1366,768,Intel,2.0,Intel Graphics,322.0,228.0,16.1,Yes,1.0,Yes,4.2,Yes,1.0,,Asus
4.6,3.0,Windows,14.0, LED , No ,1.2,4.0,4.0,,1.0,3200.0,HDD,1000.0,1.5,1.0,No,45.0,,Li-Po,,No,1920,1080,Intel,4.0,Intel Graphics,326.0,230.0,17.9,nan,,Yes,5.0,Yes,2.0,,Lenovo
5.0,3.0,Windows,15.6, LED , No ,2.4,8.0,8.0,,1.0,3200.0,nan,256.0,1.65,1.0,No,65.0,,Li-Ion,7.5,nan,1920,1080,Intel,6.0,Intel Graphics,359.2,236.5,19.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Lenovo
4.1,1896.0,Windows,15.6, LED , No ,2.4,8.0,3.0,8.0,1.0,,HDD,1000.0,2.19,1.0,No,45.0,3.0,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,363.0,255.0,24.0,nan,,Yes,4.2,Yes,1.0,yes,Lenovo
4.2,306.0, DOS ,15.6, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,1.77,1.0,No,41.0,3.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,376.0,246.0,22.5,Yes,1.0,Yes,4.2,nan,,yes,HP
,,Windows,15.6, LED , No ,2.6,1.0,4.0,,1.0,,HDD,1000.0,1.8,1.0,No,35.0,,Li-Po,,nan,1920,1080,AMD,2.0,AMD Graphics,362.2,251.5,19.9,Yes,1.0,Yes,4.2,Yes,1.0,,Lenovo
4.4,73.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.3,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,363.06,259.61,23.5,Yes,4.0,Yes,5.0,Yes,1.0,,Lenovo
4.1,888.0,Windows,11.6, LED , Yes ,1.1,4.0,4.0,,1.0,2133.0,HDD,500.0,1.35,1.0,No,36.0,2.0,Li-Ion,12.0,No,1366,768,Intel,4.0,Intel Graphics,291.0,202.0,21.6,Yes,1.0,Yes,5.0,No,,,Acer
4.3,1004.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,SSD,512.0,2.23,1.0,No,150.0,3.0,Li-Po,,No,1920,1080,Intel,,NVIDIA,360.0,256.0,23.4,Yes,2.0,Yes,5.0,nan,,yes,HP
4.2,63.0,Windows,15.6, LED , No ,2.5,12.0,4.0,8.0,1.0,2933.0,nan,512.0,2.34,1.0,No,51.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,365.5,254.0,21.6,Yes,2.0,Yes,4.0,nan,,yes,Dell
4.3,6.0,Windows,13.3, LED , No ,2.5,3.0,8.0,,,1866.0,nan,256.0,1.11,1.0,Yes,45.0,4.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,325.0,229.0,10.4,nan,,Yes,4.2,nan,,yes,HP
4.2,636.0,Windows,15.6, LED , No ,2.1,4.0,8.0,,1.0,2666.0,HDD,1000.0,1.74,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,358.5,242.0,19.9,Yes,2.0,Yes,4.2,nan,,,HP
4.0,1.0,Windows,14.0, LED , No ,1.8,8.0,2.0,16.0,1.0,2144.0,nan,512.0,1.09,1.0,No,,4.0,Li-Ion,12.0,No,1920,1080,Intel,8.0,NVIDIA,319.0,205.0,18.0,nan,,Yes,4.1,nan,,yes,Dell
4.3,1004.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,SSD,512.0,2.23,1.0,No,150.0,3.0,Li-Po,,No,1920,1080,Intel,,NVIDIA,360.0,256.0,23.4,Yes,2.0,Yes,5.0,nan,,yes,HP
4.5,401.0,MAC,13.3, LED , No ,1.1,6.0,8.0,,1.0,3733.0,nan,512.0,1.29,1.0,No,30.0,,Li-Po,11.0,Yes,2560,1600,Intel,6.0,Intel Graphics,304.1,212.4,16.1,nan,,Yes,5.0,Yes,2.0,yes,Apple
,,Windows,13.3, LED , Yes ,1.2,8.0,16.0,,1.0,1866.0,nan,512.0,1.46,1.0,No,65.0,6.0,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,320.0,234.5,15.3,nan,,Yes,5.0,Yes,1.0,,HP
3.4,17.0, DOS ,15.6, LED , No ,2.5,3.0,2.0,32.0,1.0,2133.0,HDD,1000.0,2.2,1.0,Yes,35.0,2.0,Li-Ion,,No,1920,1080,Intel,4.0,NVIDIA,381.0,263.0,21.6,Yes,2.0,Yes,4.1,No,,,Lenovo
,,Windows,15.6, LED , No ,2.8,12.0,2.0,32.0,1.0,,nan,512.0,1.7,1.0,nan,,3.0,Li-Ion,,No,1920,1080,Intel,,NVIDIA,365.0,240.0,18.9,Yes,3.0,Yes,5.1,nan,,,Lenovo
4.5,2.0, DOS ,15.6, LED , No ,1.0,6.0,2.0,8.0,1.0,2666.0,HDD,1000.0,1.78,1.0,No,65.0,3.0,Li-Ion,,No,1366,768,Intel,6.0,NVIDIA,376.0,246.0,22.5,Yes,1.0,Yes,5.0,nan,,,HP
,,Windows,15.6, LED , No ,2.6,12.0,6.0,32.0,2.0,2933.0,nan,1000.0,2.56,1.0,No,,6.0,Li-Ion,10.0,No,1920,1080,Intel,8.0,NVIDIA,357.0,268.0,20.0,nan,,Yes,5.1,Yes,,yes,Dell
4.1,167.0,Windows,15.6, LED , No ,2.2,9.0,4.0,8.0,1.0,2666.0,HDD,1000.0,2.25,1.0,No,52.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,263.0,25.0,Yes,3.0,Yes,5.0,Yes,,yes,HP
,,Windows,14.0, LED , No ,1.8,8.0,2.0,8.0,1.0,,HDD,1000.0,1.6,1.0,No,65.0,3.0,Li-Ion,,nan,1920,1080,Intel,8.0,NVIDIA,325.3,232.9,19.9,Yes,3.0,Yes,5.0,Yes,1.0,yes,Asus
3.5,79.0,Windows,15.6, LED , No ,2.0,3.0,4.0,12.0,1.0,2400.0,HDD,1000.0,2.0,1.5,Yes,,3.0,Li-Ion,,No,1920,1080,Intel,2.0,Intel Graphics,381.0,252.0,27.6,Yes,1.0,Yes,4.0,No,,,Asus
3.6,30.0,Windows,15.6, LED , Yes ,1.8,8.0,6.0,16.0,1.0,2400.0,nan,256.0,1.4,1.0,No,,,Li-Ion,17.0,No,3240,2160,Intel,6.0,NVIDIA,343.0,251.0,23.0,Yes,1.0,Yes,4.1,Yes,1.0,,Microsoft
4.4,73.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.3,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,363.06,259.61,23.5,Yes,4.0,Yes,5.0,Yes,1.0,,Lenovo
4.5,2.0,Windows,14.0, LED , No ,1.2,4.0,4.0,,1.0,,nan,512.0,1.4,1.0,No,45.0,3.0,Li-Ion,,Yes,1920,1080,Intel,4.0,Intel Graphics,324.0,215.0,19.1,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
4.5,3232.0,Windows,15.6, LED , No ,2.3,8.0,8.0,32.0,2.0,2400.0,HDD,1000.0,2.7,1.0,No,135.0,4.0,Li-Ion,7.0,nan,1920,1080,Intel,6.0,NVIDIA,390.0,266.0,26.7,Yes,2.0,Yes,5.0,Yes,1.0,,Acer
4.4,140.0,Windows,15.6, LED , No ,3.0,,4.0,8.0,1.0,,nan,512.0,1.96,1.0,No,180.0,3.0,Li-Ion,,nan,1920,1080,AMD,6.0,AMD Graphics,359.0,254.0,21.7,Yes,1.0,Yes,5.1,Yes,2.0,,MSI
,23.0,Windows,15.6, LED , No ,1.8,2.0,2.0,8.0,2.0,,HDD,1000.0,2.3,1.0,Yes,65.0,4.0,Li-Ion,4.0,No,1920,1080,AMD,4.0,AMD Graphics,384.0,265.0,24.6,Yes,1.0,Yes,4.0,nan,,,Lenovo
4.5,141.0,Windows,12.3, LED , Yes ,2.6,3.0,8.0,,1.0,1866.0,nan,256.0,0.78,1.0,No,,,Li-Ion,13.5,No,2736,1824,Intel,4.0,Intel Graphics,292.1,201.42,8.38,Yes,1.0,Yes,4.2,No,,,Microsoft
4.2,561.0,Windows,15.6, LED , No ,2.5,3.0,4.0,8.0,1.0,2133.0,HDD,1000.0,2.2,1.0,Yes,,2.0,Li-Ion,5.0,No,1920,1080,Intel,4.0,NVIDIA,379.0,260.0,22.9,Yes,1.0,Yes,4.1,nan,,,Lenovo
,,Windows,15.6, LED , No ,2.1,4.0,4.0,12.0,1.0,,HDD,1000.0,1.9,1.0,No,45.0,2.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,360.0,235.0,22.9,Yes,2.0,Yes,4.2,Yes,1.0,,Asus
4.1,228.0,Windows,13.3, LED , Yes ,,12.0,2.0,16.0,1.0,2933.0,SSD,1000.0,1.31,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,,NVIDIA,306.5,194.6,16.9,Yes,2.0,Yes,5.0,nan,,,HP
,,Windows,14.0, LED , No ,,6.0,4.0,,1.0,,nan,256.0,1.55,1.0,No,45.0,3.0,Li-Ion,11.5,nan,1366,768,Intel,4.0,Intel Graphics,328.0,223.0,17.9,Yes,1.0,Yes,5.1,Yes,1.0,yes,Acer
,,Windows,15.6, LED , No ,3.0,6.0,8.0,,1.0,,HDD,1000.0,1.6,1.0,No,,,Li-Ion,,Yes,1920,1080,Intel,4.0,Intel Graphics,325.0,216.0,23.1,Yes,2.0,Yes,4.1,Yes,1.0,,Asus
4.1,62.0,Windows,15.6, LED , No ,1.2,4.0,8.0,,1.0,2667.0,HDD,1000.0,1.8,1.0,No,38.0,2.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,362.0,253.0,20.0,Yes,1.0,Yes,5.0,nan,,,Lenovo
4.4,168.0,Windows,15.6, LED , No ,2.6,12.0,4.0,16.0,2.0,2933.0,nan,512.0,2.3,1.0,nan,170.0,4.0,Li-Ion,6.0,nan,1920,1080,Intel,8.0,NVIDIA,363.06,259.61,26.1,Yes,2.0,Yes,5.0,Yes,1.0,yes,Lenovo
3.3,12.0,Windows,14.0, LED , No ,1.2,4.0,8.0,,1.0,2666.0,HDD,1000.0,1.6,1.0,No,65.0,3.0,Li-Ion,11.5,nan,1920,1080,Intel,4.0,Intel Graphics,322.7,230.5,17.9,nan,,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,15.6, LED , No ,2.6,12.0,6.0,32.0,2.0,2933.0,nan,512.0,2.36,1.0,No,200.0,6.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,357.9,239.7,22.5,Yes,1.0,Yes,5.0,nan,,,HP
4.0,28.0,Windows,14.0, LED , No ,3.0,16.0,4.0,8.0,1.0,,nan,512.0,1.6,1.0,No,76.0,4.0,Li-Ion,,nan,1920,1080,AMD,8.0,NVIDIA,324.0,220.0,17.9,Yes,1.0,Yes,5.1,Yes,2.0,yes,Asus
,,Windows,15.6, LED , No ,4.0,6.0,4.0,,1.0,,nan,256.0,1.8,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,4.0,Intel Graphics,359.0,235.0,17.9,Yes,1.0,Yes,4.0,Yes,1.0,,Asus
4.2,17.0,Windows,14.0, LED , Yes ,2.4,8.0,8.0,,1.0,3200.0,nan,512.0,1.72,1.0,No,53.0,4.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,,,,nan,,Yes,5.0,Yes,2.0,,Dell
5.0,5.0,Windows,15.6, LED , No ,2.2,9.0,4.0,8.0,1.0,2666.0,nan,256.0,1.8,1.0,No,130.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,357.0,235.0,17.0,nan,,Yes,4.1,Yes,1.0,,Dell
,,Windows,14.0, LED , No ,1.6,6.0,8.0,32.0,1.0,2400.0,nan,256.0,1.35,,No,57.0,,Li-Po,17.3,nan,1920,1080,Intel,6.0,Intel Graphics,329.0,226.15,17.5,nan,,Yes,5.0,Yes,1.0,,Lenovo
4.0,14.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,,HDD,1000.0,2.2,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,250.0,24.9,nan,,Yes,5.0,Yes,1.0,yes,Lenovo
4.5,457.0,Windows,14.0, LED , No ,1.8,8.0,8.0,32.0,1.0,2666.0,nan,512.0,1.19,1.0,No,65.0,4.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,322.0,222.9,15.9,nan,,Yes,5.0,Yes,2.0,yes,MSI
,,Windows,15.6, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,1.86,1.0,Yes,65.0,4.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,380.0,253.8,23.8,Yes,1.0,Yes,4.2,nan,,,HP
4.4,36.0,Windows,15.6, LED , No ,2.1,4.0,4.0,,2.0,,nan,512.0,1.7,1.0,nan,37.0,,Li-Ion,,No,1920,1080,AMD,2.0,AMD Graphics,358.0,242.0,20.0,Yes,2.0,Yes,5.0,nan,,,HP
4.3,383.0,Windows,14.0, LED , Yes ,4.2,8.0,2.0,16.0,1.0,3200.0,nan,512.0,1.41,1.0,nan,45.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,325.0,216.0,17.0,nan,,Yes,5.0,Yes,1.0,yes,HP
3.9,6.0,Windows,15.6, LED , No ,2.3,16.0,8.0,16.0,1.0,,nan,1000.0,2.57,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,360.0,275.0,24.9,nan,,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,14.0, LED , No ,,,8.0,,1.0,,nan,512.0,1.3,1.0,nan,65.0,3.0,Li-Ion,,No,1920,1080,AMD,6.0,AMD Graphics,319.0,220.2,16.9,Yes,2.0,nan,,No,,yes,MSI
,1.0,Windows,17.3, LED , No ,2.5,6.0,2.0,12.0,2.0,2133.0,HDD,1000.0,3.4,1.0,Yes,56.0,6.0,Li-Ion,3.5,No,1920,1080,Intel,4.0,NVIDIA,414.02,279.4,35.5,Yes,1.0,Yes,4.1,No,,,Asus
4.7,11.0,Windows,15.6, LED , No ,1.6,6.0,2.0,16.0,1.0,2133.0,HDD,1000.0,1.7,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,361.4,243.5,17.9,Yes,2.0,Yes,4.2,No,,,Asus
4.3,12.0, DOS ,15.6, LED , No ,2.2,4.0,4.0,,1.0,,HDD,1000.0,2.4,1.0,nan,,2.0,Li-Ion,5.0,No,1366,768,Intel,4.0,Intel Graphics,450.0,280.0,30.0,Yes,2.0,Yes,4.0,nan,,,Lenovo
4.2,96.0, Google Chrome ,14.0, LED , Yes ,1.1,2.0,4.0,,1.0,2400.0,nan,64.0,1.54,1.0,No,45.0,2.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,337.0,227.0,18.3,nan,,Yes,4.2,Yes,2.0,,HP
,,Windows,15.6, LED , No ,2.4,8.0,8.0,,1.0,2666.0,HDD,1000.0,1.83,1.0,No,45.0,3.0,nan,6.0,No,1920,1080,Intel,6.0,Intel Graphics,363.96,249.0,18.0,Yes,1.0,Yes,5.0,nan,,yes,Dell
,,Windows,15.6, LED , No ,1.6,6.0,2.0,8.0,1.0,2400.0,nan,256.0,1.7,1.0,No,42.0,3.0,Li-Po,,Yes,1920,1080,Intel,6.0,NVIDIA,361.4,243.5,17.9,Yes,2.0,Yes,4.1,Yes,1.0,,Asus
,,Windows,15.6, LED , No ,2.3,4.0,4.0,8.0,2.0,2666.0,nan,512.0,2.3,1.0,No,,4.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,363.4,255.0,23.8,nan,,Yes,5.0,Yes,2.0,yes,Acer
,,Windows,15.6, LED , No ,1.0,6.0,2.0,4.0,1.0,,nan,512.0,1.9,1.0,No,,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,363.4,250.5,19.9,Yes,1.0,Yes,4.2,nan,,,Acer
,,Windows,15.6, LED , No ,2.3,3.0,2.0,16.0,2.0,2133.0,HDD,1000.0,2.2,1.0,Yes,,2.0,Li-Ion,5.0,No,1366,768,Intel,2.0,NVIDIA,379.0,260.0,22.9,Yes,1.0,Yes,4.1,nan,,,Lenovo
,,Windows,15.6, LED , No ,,24.0,4.0,16.0,1.0,,nan,1000.0,2.25,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,,NVIDIA,359.0,259.0,24.9,Yes,1.0,Yes,5.1,Yes,1.0,yes,MSI
4.6,72.0,Windows,15.6, LED , No ,2.6,12.0,16.0,32.0,2.0,,nan,1000.0,2.1,1.0,No,180.0,4.0,Li-Ion,8.0,No,1920,1080,Intel,8.0,NVIDIA,358.5,255.0,17.9,nan,,Yes,5.0,Yes,1.0,yes,Acer
,,Windows,15.6, LED , No ,1.0,6.0,8.0,,2.0,2666.0,HDD,1000.0,1.85,1.0,nan,35.0,,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,,,,Yes,1.0,Yes,5.0,nan,,,Lenovo
,13.0,Windows,15.6, LED , No ,2.5,8.0,4.0,16.0,2.0,2933.0,nan,512.0,2.14,1.0,No,150.0,6.0,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,357.9,236.8,18.4,Yes,2.0,Yes,5.0,nan,,yes,HP
3.8,10.0,Windows,14.0, LED , No ,2.4,8.0,16.0,,1.0,3200.0,nan,512.0,1.43,1.0,No,65.0,,Li-Ion,16.0,Yes,1920,1080,Intel,6.0,Intel Graphics,320.0,214.6,17.7,Yes,1.0,Yes,5.0,nan,,,Lenovo
3.8,19.0,Windows,14.0, LED , No ,2.2,4.0,4.0,,1.0,2133.0,HDD,1000.0,1.67,1.0,No,30.0,2.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,,,,Yes,1.0,Yes,4.1,No,,,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,4.0,,1.0,,HDD,1000.0,1.68,1.0,Yes,65.0,4.0,Li-Ion,,No,1366,768,Intel,6.0,Intel Graphics,340.0,250.0,23.2,nan,,Yes,4.1,No,,,Asus
,, DOS ,14.0, LED , No ,1.6,6.0,8.0,,1.0,2666.0,HDD,500.0,1.77,1.0,No,,,Li-Po,12.8,No,1920,1080,Intel,6.0,Intel Graphics,325.0,232.0,21.0,Yes,3.0,Yes,5.0,nan,,,Lenovo
4.0,429.0, DOS ,14.0, LED , No ,,3.0,4.0,,2.0,2133.0,HDD,1000.0,1.52,1.0,No,,3.0,Li-Ion,,No,1366,768,AMD,4.0,AMD Graphics,335.0,234.0,19.9,Yes,1.0,Yes,4.0,nan,,,HP
4.3,593.0,Windows,14.0, LED , No ,2.2,4.0,8.0,16.0,1.0,2400.0,HDD,1000.0,1.3,1.0,No,42.0,3.0,Li-Ion,,nan,1920,1080,Intel,4.0,Intel Graphics,326.0,226.0,18.8,Yes,2.0,Yes,4.0,Yes,1.0,,Asus
4.3,504.0,Windows,14.0, LED , No ,1.2,4.0,8.0,,1.0,2666.0,nan,256.0,1.6,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,322.7,230.0,17.9,nan,,Yes,4.2,Yes,1.0,,Lenovo
4.4,9.0,Windows,12.0, LED , Yes ,1.1,4.0,8.0,,,1866.0,nan,128.0,1.2,1.0,nan,,4.0,Li-Ion,7.0,No,1920,1280,Intel,2.0,Intel Graphics,300.0,213.0,13.4,Yes,1.0,Yes,4.2,nan,,yes,HP
,,Windows,15.6, LED , No ,2.4,8.0,4.0,16.0,2.0,2666.0,HDD,1000.0,1.83,1.0,No,,3.0,Li-Ion,7.0,No,1920,1080,Intel,6.0,Intel Graphics,364.0,249.0,20.0,Yes,1.0,Yes,5.0,nan,,,Dell
3.8,3.0,Windows,14.0, LED , Yes ,3.0,8.0,16.0,,1.0,4266.0,nan,1000.0,1.44,1.0,nan,65.0,,Li-Ion,10.0,Yes,3840,2160,Intel,,Intel Graphics,319.4,216.4,16.5,nan,,Yes,5.1,Yes,2.0,yes,Lenovo
,,Windows,15.6, LED , No ,2.9,8.0,6.0,32.0,2.0,3200.0,nan,512.0,2.3,1.0,No,,3.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,359.0,256.0,24.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
4.4,7310.0,Windows,14.0, LED , No ,2.1,6.0,8.0,,2.0,2400.0,nan,512.0,1.5,1.0,No,45.0,2.0,Li-Ion,,nan,1920,1080,AMD,4.0,AMD Graphics,322.0,212.0,19.0,Yes,1.0,Yes,4.2,Yes,1.0,,Asus
,,Windows,15.6, LED , No ,4.2,8.0,8.0,32.0,2.0,2666.0,HDD,1000.0,1.78,1.0,nan,,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,490.0,471.0,18.5,Yes,2.0,Yes,4.0,nan,,,HP
,,Windows,16.9, LED , No ,2.6,24.0,16.0,32.0,2.0,3200.0,SSD,1000.0,2.89,1.0,nan,,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,397.0,268.0,27.4,Yes,1.0,Yes,5.2,Yes,2.0,yes,MSI
,,Windows,16.0, LED , No ,,24.0,8.0,16.0,1.0,3200.0,nan,2000.0,1.9,1.0,nan,240.0,4.0,Li-Ion,,No,2560,1600,nan,,NVIDIA,355.0,243.0,19.9,Yes,2.0,Yes,5.2,Yes,1.0,yes,Asus
,,Windows,14.0, LED , No ,2.4,8.0,16.0,,1.0,3200.0,nan,512.0,1.4,1.0,nan,65.0,,Li-Ion,8.0,No,1920,1080,Intel,6.0,Intel Graphics,324.0,215.0,17.9,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,17.3, LED , No ,2.6,12.0,8.0,32.0,1.0,2400.0,HDD,1000.0,2.6,1.0,No,180.0,6.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,397.0,268.0,29.0,Yes,2.0,Yes,5.0,Yes,1.0,yes,MSI
,,Windows,17.3, LED , No ,2.6,12.0,6.0,16.0,2.0,,nan,1000.0,2.24,1.0,No,66.0,3.0,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,320.0,210.0,20.0,Yes,1.0,Yes,5.0,nan,,yes,Asus
4.3,597.0,Windows,15.6, LED , No ,2.4,8.0,4.0,8.0,1.0,,nan,1000.0,1.86,1.0,No,120.0,3.0,Li-Ion,,nan,1920,1080,Intel,6.0,NVIDIA,359.0,259.0,21.7,Yes,1.0,Yes,4.2,Yes,1.0,,MSI
3.9,62.0, Linux ,15.6, LED , No ,1.6,6.0,8.0,16.0,1.0,2133.0,HDD,1000.0,2.0,1.0,Yes,65.0,4.0,Li-Ion,9.0,Yes,1920,1080,Intel,6.0,Intel Graphics,370.5,255.0,18.9,Yes,1.0,Yes,4.1,No,,,Acer
,,Windows,14.0, LED , No ,2.1,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.6,1.0,nan,45.0,3.0,Li-Po,,No,1920,1080,Intel,4.0,Intel Graphics,,,,Yes,1.0,Yes,5.1,Yes,1.0,,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,8.0,,1.0,,nan,512.0,0.95,1.0,No,65.0,,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,320.0,203.0,14.9,nan,,Yes,5.0,Yes,2.0,yes,Asus
,,Windows,15.6, LED , No ,2.5,8.0,4.0,16.0,2.0,2933.0,nan,512.0,3.61,1.0,No,83.0,6.0,Li-Po,,nan,1920,1080,Intel,6.0,NVIDIA,357.9,236.8,18.4,Yes,1.0,Yes,5.0,nan,,,HP
4.0,231.0,Windows,15.6, LED , No ,2.0,3.0,4.0,,1.0,2400.0,HDD,1000.0,2.4,1.0,No,45.0,3.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,381.0,256.0,25.4,Yes,1.0,Yes,4.1,No,,,Acer
,,Windows,15.6, LED , No ,2.6,4.0,8.0,,2.0,2400.0,nan,256.0,1.96,1.0,No,42.0,3.0,Li-Ion,,No,1920,1080,AMD,2.0,AMD Graphics,364.0,249.0,20.0,Yes,1.0,Yes,4.1,nan,,,Dell
,,Windows,15.6, LED , No ,,8.0,8.0,,2.0,2666.0,nan,512.0,1.7,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,358.5,242.0,17.9,Yes,1.0,Yes,5.0,Yes,1.0,,HP
,, Google Chrome ,15.6, LED , No ,1.6,2.0,2.0,,1.0,1866.0,nan,16.0,1.95,1.0,No,45.0,3.0,Li-Po,,No,1366,768,Intel,2.0,Intel Graphics,383.03,256.03,24.1,Yes,2.0,Yes,4.0,No,,,Acer
4.5,29.0,MAC,13.0, LED , No ,2.0,6.0,16.0,32.0,1.0,3733.0,nan,512.0,1.4,1.0,No,61.0,,Li-Po,,No,2560,1600,Intel,6.0,Intel Graphics,304.1,212.4,15.6,nan,,Yes,5.0,Yes,2.0,yes,Apple
4.6,419.0,Windows,15.6, LED , No ,2.6,12.0,4.0,32.0,2.0,2933.0,nan,512.0,2.3,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,360.0,275.0,25.8,nan,,Yes,5.1,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,2.1,6.0,8.0,,1.0,,HDD,1000.0,2.24,1.0,No,50.0,3.0,Li-Ion,,Yes,1920,1080,AMD,4.0,AMD Graphics,360.2,234.9,22.9,Yes,1.0,Yes,4.2,Yes,1.0,,Asus
,,Windows,15.6, LED , No ,2.6,12.0,6.0,16.0,2.0,2666.0,HDD,1000.0,,1.0,No,60.0,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,364.3,273.4,19.9,nan,,Yes,5.0,nan,,,Dell
3.7,249.0,Windows,15.6, LED , No ,1.2,4.0,4.0,32.0,2.0,2666.0,HDD,1000.0,2.2,1.0,Yes,,3.0,Li-Ion,6.0,nan,1920,1080,Intel,4.0,Intel Graphics,340.0,258.0,22.0,Yes,1.0,Yes,5.0,nan,,yes,Dell
,,Windows,15.6, LED , No ,2.4,3.0,2.0,8.0,2.0,1600.0,HDD,500.0,2.4,1.0,nan,65.0,4.0,Li-Ion,,No,1366,768,nan,,AMD Graphics,381.0,267.0,25.6,Yes,2.0,Yes,4.0,nan,,,Dell
5.0,1.0,Windows,14.0, LED , No ,1.0,6.0,8.0,32.0,1.0,3200.0,nan,512.0,1.43,1.0,No,,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,321.0,216.0,18.0,nan,,Yes,5.0,Yes,,yes,Dell
