Rating,No_of_ratings,Name,specs0,specs1,specs2,specs3,specs4,specs5,specs6,specs7,specs8,specs9,specs10,specs11,specs12,specs13,specs14,specs15,specs16,specs17,specs18,specs19,specs20,specs21,specs22,specs23,specs24,specs25,specs26,specs27,specs28,specs29,specs30,specs31,specs32,specs33,specs34,specs35
null,null,Key Specs & Features of Asus FX505DT-AL202T (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-Glare Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 2 MB , NVIDIA GeForce GTX 1650 , 4 GB , Up to 32GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.2 Kg , 360.4 x 262 x 25.8 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 48 W AC Adapter W , 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming RGB Backlit Keyboard , No 
4.3,169 Ratings,Key Specs & Features of Asus X413EP-EK511TS (Intel Core i5 (11th Gen) 8GB 2GB Graphics Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 220 nits Brightness, 84Ã¯Â¼â€¦ Screen-to-body Ratio) ", No , Intel Core i5 (11th Gen) , 1135G7 ,null, 8 MB , NVIDIA GeForce MX330 , 2 GB , 8GB ,1, DDR4 ,null,null, 512GB , 1.40 Kg , 324 x 215 x 19.1 , Cobalt Blue , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , Yes 
3.7,249 Ratings,Key Specs & Features of Dell 15 3593 (D560236WIN9B) (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 4GB , Up to 32GB ,2, DDR4 , 2666MHz , HDD SATA , 1TB , 2.20 Kg , 340 x 258 x 22 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", Yes ,null, Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 6 Hrs , Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard ,null
3.8,75 Ratings,Key Specs & Features of Dell 15 3593 (D591457WIN10) (Intel Core i3 (10th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 8GB ,null,2, DDR4 , 2666MHz , HDD SATA , 1TB , 2.20 Kg , 340 x 258 x 22 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard , No 
null,null,Key Specs & Features of Acer CB3-431 (NX.GC2AA.016) (Intel Celeron Dual Core 4GB ), Google Chrome , 14 inch , 1366 x 768 pixels , LED , Active Matrix TFT Color LCD LED Backlight Display , No , Intel Celeron Dual-Core , N3060 , 1.6GHz , 2 MB , Intel HD 400 , 4GB ,null,null, LPDDR3 ,null,null, 16GB , 1.7 Kg , 340 x 236 x 17.8 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.0 ",null,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Po ,null, Touchpad with Multi-touch Gestures support , Acer FineTip Keyboard with Numeric Keypad , No 
4.1,539 Ratings,Key Specs & Features of Asus X509JA-EJ019T (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC, 82.5% Screen-to-body Ratio) ", No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 4GB , Up to 12GB ,2, DDR4 , 3200MHz , HDD SATA , 1TB , 1.9 Kg , 360 x 235 x 22.9 , Transparent Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 2 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , Yes 
4,460 Ratings,Key Specs & Features of HP 15-bw548AU (4NZ61PA) (AMD E2 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , Diagonal SVA BrightView WLED-Dacklit , No , AMD Dual-Core APU , 9000e , 2.5GHz , 1 MB , AMD Radeon R2 , 4GB ,null,1,null, 1866MHz , HDD SATA , 1TB , 1.86 Kg , 380 x 253.8 x 23.8 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n "," Yes, 4.0 ", Yes, No , Headphone + Microphone Combo Jack , 45 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch gesture Support , Full-size island-style keyboard , No 
4.5,171 Ratings,Key Specs & Features of MSI Modern 14 B11MO-094IN (Intel Core i3 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS Display (45% NTSC Color Gamut) , No , Intel Core i3 (11th Gen) , 1115G4 , 1.7GHz , 6 MB , Intel UHD , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.3 Kg , 319 x 219 x 16.9 , Carbon Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Single Backlight Keyboard (White) , No 
4.2,6 Ratings,Key Specs & Features of Asus FX705DY-AU027T (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 17.3 inch(43.94 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-Glare IPS Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 2 MB , AMD Radeon RX 560X , 4 GB , 8GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 2.6 Kg , 399.8 x 279.4 x 27.6 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.2 ", No , No , Headphone + Microphone Combo Jack , 64 W AC Adapter W , 4 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.5,441 Ratings,Key Specs & Features of Asus X512DA-EJ1298TS (Ryzen 5 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC, 88% Screen-to-body Ratio) ", No , AMD Quad-Core Ryzen 5 , 3500U , 2.1GHz , 6 MB , AMD Radeon Vega 8 , 8GB ,null,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.68 Kg , 357 x 230 x 19.9 , Peacock Blue , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 2 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , Yes 
