Rating,No_of_ratings,Name,specs0,specs1,specs2,specs3,specs4,specs5,specs6,specs7,specs8,specs9,specs10,specs11,specs12,specs13,specs14,specs15,specs16,specs17,specs18,specs19,specs20,specs21,specs22,specs23,specs24,specs25,specs26,specs27,specs28,specs29,specs30,specs31,specs32,specs33,specs34,specs35
4.4,73 Ratings,Key Specs & Features of Lenovo 5i (82AU00KEIN) (Intel Core i5 (10th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Anti-glare Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 2933MHz , HDD SATA , 1TB , 2.3 Kg , 363.06 x 259.61 x 23.5 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 4 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.2,207 Ratings,Key Specs & Features of Lenovo E15 (20TDS0AB00) (Intel Core i3 (11th Gen) 4GB Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Anti-glare Display , No , Intel Core i3 (11th Gen) , 1115G4 , 3.0GHz , 6 MB , Intel UHD , 4GB ,null,1, DDR4 ,null,null, 256GB , 1.7 Kg , 365 x 240 x 18.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.1 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English Non Backlit Keyboard , No 
null,null,Key Specs & Features of Asus G513IH-HN084TS (Ryzen 7 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Display (170 Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe) ", No , AMD Octa-Core Ryzen 7 , 4800H , 2.9GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , 8GB ,1, DDR4 ,null,null, 512GB , 2.1 Kg , 354 x 259 x 20.6 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of Lenovo E15 (20TDS0G400) (Intel Core i7 (11th Gen) 32GB 2GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Anti-glare Display , No , Intel Core i7 (11th Gen) , 1165G7 , 2.8GHz , 12 MB , NVIDIA GeForce MX450 , 2 GB , 32GB ,1, DDR4 ,null,null, 512GB , 1.7 Kg , 365 x 240 x 18.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.1 ",null,null, Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Asus G513QM-HF406TS ( 16GB 6GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (16:9, 300nits Brightness, NTSC: 72% Color Gamut, Value IPS-level) ", No , AMD Octa-Core Ryzen 7 , 5900HX , 3.3GHz , 16 MB , NVIDIA GeForce RTX 3060 , 6 GB , 16GB ,1, DDR3 ,null,null, 1TB , 2.30 Kg , 354 x 259 x 22.6 , Eclipse Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 240 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of Asus FX506LI-HN279T (Intel Core i5 (10th Gen) 16GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level) ", No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , 16GB ,1, DDR4 ,null,null, 512GB , 2.30 Kg , 359 x 256 x 24.7 , Bonfire Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of Dell R5 (B569902WIN9) (Intel Core i9 (8th Gen) 32GB 1TB HDD 8GB Graphics Windows 10), Windows 10 Home Basic , 17.3 inch(43.94 cm) , 2560 x 1440 pixels , LED , Quad LED Backlit IPS Anti-glare Display with NVIDIA G-sync Enabled , No , Intel Core i9 (8th Gen) , 8950HK , 2.9GHz , 12 MB , NVIDIA GeForce GTX 1080 , 8 GB , 32GB ,2, DDR3 , 2666MHz , HDD SATA , 1TB , 4.42 Kg , 424 x 332 x 29.9 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 99 W AC Adapter W , 6 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Alienware TactX Keyboard , No 
null,null,Key Specs & Features of MSI Katana GF76 11UD-001 ( 16GB 4GB Graphics Windows 10), Windows 10 Home Basic , 17.3 inch(43.94 cm) , 1920 x 1080 pixels , LED ," IPS LED Backlit Anti-glare Display, 45% NTSC ", No , Intel Core i7 (11th Gen) , 11800H , 2.4GHz ,null, NVIDIA GeForce RTX 3050 , 4 GB , 16GB ,2, DDR4 , 3200MHz , SSD M.2/Optane , 512GB , 2.29 Kg , 398 x 273 x 25.1 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W Ac Adapter W , 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Red keyboard with Anti-Ghost key (99 Key) , No 
null,null,Key Specs & Features of Vaio SE14 NP14V3IN033P (Intel Core i5 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , Intel Iris Xe , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.39 Kg , 324.4 x 230 x 20 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 2 ", Headphone + Microphone Combo Jack ,null,null, Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , Yes 
null,null,Key Specs & Features of Fujitsu 4ZR1D71992 (Intel Core i5 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 13.3 inch(33.78 cm) , 1920 x 1080 pixels , LED , IGZO Panel Brightness: 400 nits Anti-Glare 100% sRGB Display , Yes , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , Intel Iris Xe , 8GB ,null,1, LPDDR4X ,null,null, 512GB , 0.99 Kg , 309 x 215 x 17 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 2 ", Headphone + Microphone Combo Jack ,null,null, Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , Yes 
null,null,Key Specs & Features of MSI GE76 Raider 11UH-053 ( 32GB 16GB Graphics Windows 10), Windows 10 Home Basic , 16.9 inch(42.93 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i9 (11th Gen) , 11980HK , 2.6GHz , 24 MB , NVIDIA GeForce RTX 3080 , 16 GB , 32GB ,2, DDR4 , 3200MHz , SSD M.2/Optane , 1TB , 2.89 Kg , 397 x 268 x 27.4 , Titanium Blue , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ",null," Yes, 2 ", 2 x Dynaudio 2W Speaker + 2 x 1W Woofers ,null, 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Per key RGB Steelseries Backlit Keyboard , No 
null,null,Key Specs & Features of HP 13-ay0508au (4P8A3PA) (Ryzen 7 16GB Windows 10), Windows 10 Home Basic , 13.3 inch(33.78 cm) , 1920 x 1080 pixels , LED ," ,multitouch-enabled, (IP, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, Brightness: 1000 nits (150 nits in PVCY), 166 ppi, Color Gamut: 72% NTSC) ", Yes , AMD Octa-Core Ryzen 7 , 4700U , 2.0GHz , 8 MB , AMD Radeon , 16GB ,null,1, DDR4 ,null,null, 1TB , 1.32 Kg , 306 x 194 x 16.4 , Nightfall Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ," Full-size, Backlit, Nightfall Black Keyboard ", No 
null,null,Key Specs & Features of Acer P214-53 (UN.VPLSI.048) (Intel Core i5 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , Acer ComfyView LED Backlit TFT LCD IPS Display , No , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , Intel Iris Xe , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.65 Kg , 328 x 236 x 19.9 , Shale Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Spill Resistant Backlit Keyboard , No 
null,null,Key Specs & Features of MSI GE66 Raider 11UG-417IN ( 16GB 8GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 2560 x 1440 pixels , LED , Q Anti-glare Display , No , Intel Core i7 (11th Gen) , 11800H ,null, 24 MB , NVIDIA GeForce RTX 3070 , 8 GB , 16GB ,1, DDR4 ,null,null, 1TB , 2.38 Kg , 358 x 267 x 23.4 , Titanium Blue , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 240 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Per key RGB Steelseries Keyboard , No 
null,null,Key Specs & Features of Acer P214-53 (UN.VPLSI.048) (Intel Core i5 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , Acer ComfyView LED Backlit TFT LCD IPS Display , No , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , Intel Iris Xe , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.65 Kg , 328 x 236 x 19.9 , Shale Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Spill Resistant Backlit Keyboard , No 
null,null,Key Specs & Features of MSI GE66 Raider 11UG-417IN ( 16GB 8GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 2560 x 1440 pixels , LED , Q Anti-glare Display , No , Intel Core i7 (11th Gen) , 11800H ,null, 24 MB , NVIDIA GeForce RTX 3070 , 8 GB , 16GB ,1, DDR4 ,null,null, 1TB , 2.38 Kg , 358 x 267 x 23.4 , Titanium Blue , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 240 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Per key RGB Steelseries Keyboard , No 
null,null,Key Specs & Features of Lenovo (81WA00GKIN) (Intel Core i3 (10th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , Anti-glare Display , No , Intel Core i3 (10th Gen) , 10110U , 2.1GHz , 4 MB , Intel UHD , 8GB ,null,1, DDR4 ,null,null, 256GB , 1.5 Kg , 327 x 241 x 19.9 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Lenovo 3 15IML05 (81WB015LIN) (Intel Core i3 (10th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 10110U , 2.1GHz , 4 MB , Intel UHD , 8GB , Up to 12GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 1.7 Kg , 362.2 x 253.4 x 19.9 , Grey , 1 Year , null," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard , No 
null,null,Key Specs & Features of Asus FX516PC-HN077T (Intel Core i5 (11th Gen) 16GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Anti-glare Display (16:9, 85/85/85/85Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe) ", No , Intel Core i5 (11th Gen) , 11300H , 3.1GHz , 8 MB , NVIDIA GeForce RTX 3050 , 4 GB , Up to 32GB ,1, DDR4 ,null,null, 512GB , 2 Kg , 360 x 252 x 19.9 , Moonlight White , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ,null, Headphone + Microphone Combo Jack , 180 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of MSI Stealth 11UG-418IN ( 16GB 8GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 2560 x 1400 pixels , LED , Q Anti-glare Display , No , Intel Core i7 (11th Gen) , 11800H ,null, 24 MB , NVIDIA GeForce RTX 3070 , 8 GB , 16GB ,1, DDR4 ,null,null, 1TB , 2.1 Kg , 358 x 248 x 19.8 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 230 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Per key RGB Steelseries Keyboard , No 
null,null,Key Specs & Features of MSI Modern 14 B4MW-423IN (Ryzen 5 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , AMD Hexa-Core Ryzen 5 , 4500U ,null,null, AMD Radeon , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.3 Kg , 319 x 220.2 x 16.9 , Carbon Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 ",null," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 65 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming Backlit Keyboard , No 
null,null,Key Specs & Features of Asus C223NA-GJ0074 (Intel Celeron Dual Core 4GB ), Google Chrome , 11.6 inch(29.46 cm) , 1366 x 768 pixels , LED ," LED Backlit LCD Anti-glare Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 74% Screen-to-body Ratio) ", No , Intel Celeron Dual-Core , N3350 , 1.1GHz , 2 MB , Intel HD 500 , 4GB , Up to 32GB ,1, LPDDR4X ,null,null, 32GB , 1 Kg , 286 x 199 x 17.3 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Chiclet Keyboard with Num-key , No 
null,null,Key Specs & Features of Asus G513QC-HN126T ( 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Anti-glare Display , No , AMD Hexa-Core Ryzen 5 , 5900HX , 3.3GHz , 16 MB , NVIDIA GeForce RTX 3050 , 4 GB , Up to 32GB ,1, DDR4 ,null,null, 1TB , 2.10 Kg , 354 x 259 x 20.7 , Eclipse Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 200 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
